param_name,车型10_17.59,车型11_17.99,车型12_18.89,车型13_17.09,车型14_17.99,车型15_18.39,车型16_19.29,车型17_23.89,车型18_24.29,车型1_16.49,车型2_16.89,车型3_17.29,车型4_17.69,车型5_18.19,车型6_18.59,车型7_17.69,车型8_18.39,车型9_16.69
手机APP远程功能,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车,车门控制 车辆启动 充电管理 空调控制 车况查询/诊断 车辆定位/寻车
手机互联/映射,-,-,-,-,-,-,-,-,-,支持CarPlay 支持HUAWEI HiCar,支持CarPlay 支持HUAWEI HiCar,支持CarPlay 支持HUAWEI HiCar,支持CarPlay 支持HUAWEI HiCar,支持CarPlay 支持HUAWEI HiCar,支持CarPlay 支持HUAWEI HiCar,支持CarPlay 支持HUAWEI HiCar,支持CarPlay 支持HUAWEI HiCar,-
手机无线充电功率,50W,50W,50W,-,50W,50W,50W,50W,50W,50W,50W,50W,50W,50W,50W,50W,50W,-
手机无线充电功能,排,排,排,-,排,排,排,排,排,排,排,排,排,排,排,排,排,-
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子挡把换挡
排座椅功能,通,通,通,-,通,通,通,通,通,通,通,通,通,通 按摩,通 按摩,通,通 按摩(仅驾驶位),-
接近角(°),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最低荷电状态(L/100km),5.3,5.3,5.3,5.3,5.3,5.3,5.3,-,-,-,-,-,-,-,-,-,-,5.3
最低荷电状态(L/100km)WLTC,-,-,-,-,-,-,-,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,-
最大净功率(kW),105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
最大功率(kW),314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载(kg),2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447,2447
最大马力(Ps),156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
每缸(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
毫米波雷达数量,-,-,2个,-,-,-,2个,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
灯光特色功能,-,-,-,-,-,-,-,-,-,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,-
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,驾驶位,-,-,-,驾驶位,-,-,-,-,-,-,驾驶位 副驾驶位,驾驶位 副驾驶位,-,驾驶位,-
电动机(Ps),271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
电动机总功率(kW),199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
电动机总扭矩(N·m),395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
电动机总马力(Ps),271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
电动机最大功率(kW),199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
电动机最大扭矩(N·m),395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
电机类型,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
电池(小时),0.42,0.42,0.42,-,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,-
电池类型,三,三,三,-,三,三,三,三,三,三,三,三,三,三,三,三,三,-
电池能量(kWh),19.43,19.43,19.43,-,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,-
电池范围(%),20-80,20-80,20-80,-,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,-
电芯品牌,国轩高科,国轩高科,国轩高科,-,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,国轩高科,-
百公里耗(kWh/100km),-,-,-,-,-,-,-,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,-
离去角(°),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,靠背,靠背,靠背,后 靠背,后 靠背,后 靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,后 靠背 腰部 腿托,后 靠背 腰部 腿托,靠背
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,通 按摩,通 按摩,-
系统功率(Ps),427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
系统功率(kW),314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314,314
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,15.49万起,15.89万起,16.29万起,16.69万起,17.19万起,17.59万起,16.69万起,17.39万起,暂无报价
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
语音分区域唤醒识别,双区域,双区域,双区域,双区域,双区域,双区域,双区域,双区域,双区域,四区域,四区域,四区域,四区域,四区域,四区域,四区域,四区域,双区域
语音助手唤醒词,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷
语音识别控制系统,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗,多媒体系统 航 空调 天窗 车窗
超声波雷达数量,6个,6个,6个,-,6个,6个,6个,6个,6个,4个,4个,4个,4个,6个,6个,4个,6个,-
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,单色,单色,64色,单色,单色,单色,64色,单色,单色,单色,单色,64色,64色,64色,64色,单色,64色,单色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门5座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门5座SUV
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
轮距(mm),1610,1600,1600,1610,1610,1600,1600,1600,1600,1610,1610,1600,1600,1600,1600,1600,1600,1610
辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶等级,-,L2,L2,-,-,L2,L2,-,-,-,-,L2,L2,L2,L2,L2,L2,-
进入功能,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),4862*1925*1784,4862*1925*1784,4862*1925*1784,4862*1925*1784,4862*1925*1784,4862*1925*1784,4862*1925*1784,4862*1925*1784,4862*1925*1784,4911*1925*1784,4911*1925*1784,4911*1925*1784,4911*1925*1784,4911*1925*1784,4911*1925*1784,4911*1925*1784,4911*1925*1784,4862*1925*1784
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
零重力座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,第二排（右侧）,第二排（右侧）,-
驱动方式,置,置,置,置,置,置,置,置,置,置,置,置,置,置,置,置,置,置
驾驶辅助,360度全景,360度全景,360度全景,-,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,-
