param_name,车型10_21.38,车型11_22.18,车型12_22.18,车型13_21.48,车型14_22.28,车型15_22.28,车型16_21.48,车型17_22.28,车型18_22.28,车型1_21.58,车型2_22.38,车型3_22.38,车型4_21.58,车型5_22.38,车型6_22.38,车型7_21.48,车型8_22.28,车型9_22.28
电池冷却方式,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷,冷
电池能量(kWh),54.912,54.912,54.912,54.912,54.912,54.912,54.912,54.912,54.912,58.906,58.906,58.906,58.906,58.906,58.906,58.906,58.906,58.906
电池范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
空调温度控制方式,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调
第二排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),3600x1860x360,3630x1860x360,3600x1860x1850,3980x1860x360,3980x1860x360,3980x1860x1850,4020x1860x360,4020x1860x360,4020x1860x1850,3980x1860x360,3980x1860x360,3980x1860x1850,4020x1860x360,4020x1860x360,4020x1860x1850,3600x1860x360,3630x1860x360,3600x1860x1850
车体结构,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
钥匙类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长*宽*高(mm),5620*1950*2120,5620*1950*2740,5620*1950*2740,5995*1950*2120,5995*1950*2720,5995*1950*2720,5995*1950*2120,5995*1950*2720,5995*1950*2720,5995*1950*2120,5995*1950*2740,5995*1950*2740,5995*1950*2120,5995*1950*2740,5995*1950*2740,5610*1950*2120,5610*1950*2740,5610*1950*2740
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
