param_name,车型10_12.19,车型11_12.89,车型12_13.19,车型13_11.39,车型14_11.69,车型15_15.09,车型16_15.39,车型17_12.19,车型18_12.49,车型19_12.49,车型1_16.28,车型20_12.79,车型21_12.39,车型22_12.69,车型23_13.39,车型24_13.69,车型25_11.19,车型26_11.49,车型27_11.99,车型28_12.29,车型29_12.89,车型2_16.58,车型30_13.19,车型31_12.79,车型32_13.09,车型33_13.69,车型34_13.99,车型35_13.79,车型36_14.09,车型3_15.99,车型4_16.29,车型5_10.29,车型6_10.59,车型7_11.29,车型8_11.59,车型9_11.89
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,-,-,-,-,主 / 副-,主 / 副-,主 / 副,主 / 副-,主 / 副,主 / 副-,主 / 副-,主 / 副,主 / 副,-,-,主 / 副-,主 / 副-,主 / 副,主 / 副-,主 / 副,主 / 副-,主 / 副-,主 / 副,主 / 副,主 / 副,主 / 副,-,-,-,-,-,-,主 / 副
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动类型,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,12.19,12.89,13.19,11.39,11.69,15.09,15.39,12.19,12.49,12.49,16.28,12.79,12.39,12.69,13.39,13.69,11.19,11.49,11.99,12.29,12.89,16.58,13.19,12.79,13.09,13.69,13.99,13.79,14.09,15.99,16.29,10.29,10.59,11.29,11.59,11.89
发动机,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.6T 197马力 L4,1.5T 156马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.6T 197马力 L4,1.5T 156马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 184马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4,1.5T 156马力 L4
发动机型,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRF4J16C,SQRE4T15C,SQRG4J15,SQRG4J15,SQRG4J15,SQRG4J15,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRF4J16C,SQRE4T15C,SQRG4J15,SQRG4J15,SQRG4J15,SQRG4J15,SQRG4J15,SQRG4J15,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C,SQRE4T15C
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
发动机特有技术,DVVT,DVVT,DVVT,-,-,DVVT,DVVT,-,-,-,DVVT,-,-,-,-,-,-,-,-,-,-,DVVT,-,-,-,-,-,-,-,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT,DVVT
变速箱,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,CVT无级变速(模拟9挡),CVT无级变速(模拟9挡),6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,7挡湿式双离合,6挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,7挡湿式双离合,6挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,CVT无级变速(模拟9挡),CVT无级变速(模拟9挡),6挡手动,6挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),无级变速箱(CVT),无级变速箱(CVT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),无级变速箱(CVT),无级变速箱(CVT),手动变速箱(MT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
后备厢(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
地图品牌,高德 腾讯,高德 腾讯,高德 腾讯,高德,高德,高德 腾讯,高德 腾讯,高德,高德,高德,高德 百度 腾讯,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德 百度 腾讯,高德,高德,高德,高德,高德,高德,高德,高德 腾讯,高德 腾讯,高德 腾讯,高德 腾讯,高德 腾讯,高德 腾讯,高德 腾讯
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动,电动,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动,电动,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动,电动,电动,电动,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB,USB,USB,USB Type-C,USB Type-C,USB,USB,USB Type-C,USB Type-C,USB Type-C,USB,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB Type-C,USB,USB,USB,USB,USB,USB,USB
天窗类型,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗
安全带未系提醒,排,排,排,主驾驶位,主驾驶位,主驾驶位,主驾驶位,排,排,排,排,排,排,排,排,排,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,排,主驾驶位,排,排,排,排,排,排,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,排
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,全速自应巡航,全速自应巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,全速自应巡航,全速自应巡航,定速巡航,定速巡航,-,-,定速巡航,定速巡航,定速巡航
座位数(个),7,5,7,5,7,5,7,5,7,5,5,7,5,7,5,7,5,7,5,7,5,7,7,5,7,5,7,5,7,5,7,5,7,5,7,5
座椅布局,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-,-,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-,2-3-2,-
感应雨刷功能,-,-,-,-,-,-,-,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,-,-,-,-,-,雨量感应式,-,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,-,-,-,-,-,-,-
手机APP远程功能,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动,车辆启动,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动,车辆启动,车辆启动,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动,车辆启动,车辆启动,车辆启动,车辆启动,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车况查询/诊断 车辆定位/寻车 预约保养/维修,车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修,车辆启动 车况查询/诊断 车辆定位/寻车 预约保养/维修
手机互联/映射,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar
手机无线充电功率,-,-,-,-,-,-,-,50W,50W,50W,-,50W,-,-,50W,50W,-,-,-,-,-,-,-,50W,50W,50W,50W,50W,50W,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,排,排,排,-,排,-,-,排,排,-,-,-,-,-,-,-,排,排,排,排,排,排,-,-,-,-,-,-,-
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,挡把换挡,挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
接近角(°),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
放置方式,底挂式,底挂式,底挂式,底挂式,底挂式,-,-,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,-,-,底挂式,底挂式,底挂式,底挂式,底挂式
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),108,108,108,108,108,108,108,108,108,108,140,108,125,125,125,125,108,108,108,108,108,140,108,125,125,125,125,125,125,108,108,108,108,108,108,108
最大功率(kW),115,115,115,115,115,115,115,115,115,115,145,115,135,135,135,135,115,115,115,115,115,145,115,135,135,135,135,135,135,115,115,115,115,115,115,115
最大功率转速(rpm),5500,5500,5500,-,-,5500,5500,-,-,-,5500,-,-,-,-,-,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大扭矩(N·m),230,230,230,230,230,230,230,230,230,230,290,230,290,290,290,290,230,230,230,230,230,290,230,290,290,290,290,290,290,230,230,230,230,230,230,230
最大扭矩转速(rpm),1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,1750-4000,2000-3500,2000-3500,2000-3500,2000-3500,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,2000-4000,1750-4000,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,2000-3500,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000,1750-4000
最大满载(kg),2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2156,2156,2156,2156,2195,2195,2195,2195,2195,2195,2195,2156,2156,2156,2156,2156,2156,2195,2195,2195,2195,2195,2195,2195
最大马力(Ps),156,156,156,156,156,156,156,156,156,156,197,156,184,184,184,184,156,156,156,156,156,197,156,184,184,184,184,184,184,156,156,156,156,156,156,156
最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
每缸(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
液晶仪表尺寸,10.25英寸,10.25英寸,10.25英寸,12.3英寸,12.3英寸,10.25英寸,10.25英寸,12.3英寸,12.3英寸,12.3英寸,10.25英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,10.25英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
灯光特色功能,-,-,-,矩阵式,矩阵式,-,-,矩阵式,矩阵式,矩阵式,-,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,-,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,-,-,-,-,-,-,-
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
空调温度控制方式,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,自动空调,自动空调,自动空调,手动空调,自动空调,自动空调,自动空调,自动空调,自动空调,手动空调,手动空调,自动空调,自动空调,自动空调,手动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调
第二排座椅,后 靠背,靠背,后 靠背,靠背,靠背,靠背,后 靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,靠背,后 靠背,靠背
经销商参考价,9.19万起,9.89万起,10.19万起,9.39万起,9.69万起,15.09万起,15.39万起,10.19万起,10.49万起,10.49万起,16.28万起,10.79万起,10.39万起,10.69万起,11.39万起,11.69万起,9.19万起,9.49万起,9.99万起,10.29万起,10.89万起,16.58万起,11.19万起,10.79万起,11.09万起,11.69万起,11.99万起,11.79万起,12.09万起,13.99万起,14.29万起,7.29万起,7.59万起,8.29万起,8.59万起,8.89万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
语音分区域唤醒识别,单区域,单区域,单区域,-,-,单区域,单区域,-,-,-,单区域,-,-,-,-,-,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域,单区域
语音助手唤醒词,-,-,-,你好，小捷,你好，小捷,-,-,你好，小捷,你好，小捷,你好，小捷,-,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,-,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,你好，小捷,-,-,-,-,-,-,-
超声波雷达数量,4个,4个,4个,4个,4个,-,-,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,4个,6个,6个,-,-,-,-,-,-,4个
