param_name,车型10_16.48,车型11_16.48,车型12_15.78,车型13_16.48,车型14_16.48,车型15_21.28,车型16_22.08,车型17_22.08,车型1_15.18,车型2_15.68,车型3_15.68,车型4_15.18,车型5_15.68,车型6_15.68,车型7_18.58,车型8_18.58,车型9_15.78
电池范围(%),30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
空调温度控制方式,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调
第二排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),3180x1680x360,3180x1670x1850,3300x1680x360,3300x1680x360,3300x1670x1850,3700x1820x360,3700x1820x360,3700x1820x1750,3180x1680x360,3180x1680x360,3180x1670x1850,3300x1680x360,3300x1680x360,3300x1670x1850,2800x1680x360,2800x1680x360,3180x1680x360
车体结构,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进入功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
钥匙类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长*宽*高(mm),5475*1770*2660,5475*1770*2680,5995*1770*2070,5995*1770*2660,5995*1770*2680,5995*1910*2090,5995*1910*2740,5995*1910*2740,5475*1770*2070,5475*1770*2660,5475*1770*2680,5995*1770*2070,5995*1770*2660,5995*1770*2680,5910*1770*2140,5910*1770*2680,5475*1770*2070
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
