param_name,车型10_77.38,车型11_69.38,车型12_79.38,车型1_50.88,车型2_55.88,车型3_65.08,车型4_65.08,车型5_75.58,车型6_55.88,车型7_58.78,车型8_67.38,车型9_67.38
外后视镜功能,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠 自动防眩目
多媒体/充电,USB Type-C,USB Type-C,USB Type-C,Type-C,Type-C,USB Type-C,USB Type-C,USB Type-C,Type-C,USB Type-C,USB Type-C,USB Type-C
天窗类型,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗
安全带未系提醒,排,排,排,排,排,排,排,排,排,排,排,排
官方0-100km/h加速(s),5.9,5.9,5.9,6.8,6.8,5.9,5.9,5.9,6.8,6.8,5.9,5.9
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,定速巡航,定速巡航,全速自应巡航,全速自应巡航,全速自应巡航,定速巡航,定速巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机互联/映射,支持CarPlay 支持CarLife 原厂互联/映射,支持CarPlay 支持CarLife 原厂互联/映射,支持CarPlay 支持CarLife 原厂互联/映射,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay 支持CarLife 原厂互联/映射,支持CarPlay 支持CarLife 原厂互联/映射,支持CarPlay 支持CarLife 原厂互联/映射
手机无线充电功能,排,排,排,排,排,排,排,排,排,排,排,排
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
方向盘位置,电动+后,手动+后,电动+后,手动+后,手动+后,手动+后,手动+后,电动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),250,250,250,195,195,250,250,250,195,195,250,250
最大功率(kW),250,250,250,195,195,250,250,250,195,195,250,250
最大功率转速(rpm),5300-6400,5300-6400,5300-6400,5250-6500,5250-6500,5300-6400,5300-6400,5300-6400,5250-6500,5250-6500,5300-6400,5300-6400
最大扭矩(N·m),450,450,450,370,370,450,450,450,370,370,450,450
最大扭矩转速(rpm),1340-5300,1340-5300,1340-5300,1600-4500,1600-4500,1340-5300,1340-5300,1340-5300,1600-4500,1600-4500,1340-5300,1340-5300
最大满载(kg),2710,2710,2710,2610,2610,2710,2710,2710,2610,2610,2710,2710
最大马力(Ps),340,340,340,265,265,340,340,340,265,265,340,340
最高车速(km/h),250,250,250,229,229,250,250,250,229,229,250,250
每缸(个),4,4,4,4,4,4,4,4,4,4,4,4
毫米波雷达数量,-,-,-,-,-,3个,3个,3个,-,-,-,-
液晶仪表尺寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸
灯光特色功能,矩阵式,矩阵式,矩阵式,-,矩阵式,矩阵式,矩阵式,矩阵式,矩阵式,-,矩阵式,矩阵式
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,驾驶位 副驾驶位,驾驶位,驾驶位 副驾驶位,-,-,驾驶位,驾驶位,驾驶位 副驾驶位,-,-,驾驶位,驾驶位
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
语音识别控制系统,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航
超声波雷达数量,12个,12个,12个,12个,12个,12个,12个,12个,12个,12个,12个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,30色,30色,30色,单色,30色,30色,30色,30色,30色,30色,30色,30色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
辅助驾驶等级,L2,L2,L2,-,-,L2,L2,L2,-,-,L2,L2
辅助驾驶系统,Travel Assist,Travel Assist,Travel Assist,IQ. Drive,IQ. Drive,Travel Assist,Travel Assist,Travel Assist,IQ. Drive,-,Travel Assist,Travel Assist
进入功能,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),4878*1984*1697,4878*1984*1697,4878*1984*1697,4878*1984*1694,4889*1984*1697,4913*1984*1697,4913*1984*1697,4913*1984*1697,4889*1984*1697,4878*1984*1694,4878*1984*1697,4878*1984*1697
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,四驱,四驱,四驱,四驱,四驱,四驱,四驱,四驱,四驱,四驱,四驱,四驱
驾驶辅助,360度全景,360度全景,360度全景,倒车,倒车,360度全景,360度全景,360度全景,倒车,倒车,360度全景,360度全景
